Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,Kendall Lake CVNP ,2022-07-06,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:53 PM,09:56 PM,,21.1,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,Kendall Lake CVNP ,2022-07-06,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:53 PM,09:56 PM,,21.1,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Cope's Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,Kendall Lake CVNP ,2022-07-06,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:53 PM,09:56 PM,,21.1,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,Kendall Lake CVNP ,2022-06-30,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:40 PM,09:43 PM,,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,Kendall Lake CVNP ,2022-06-30,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:40 PM,09:43 PM,,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Cope's Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,Kendall Lake CVNP ,2022-06-30,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,09:40 PM,09:43 PM,,25,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Kendall Lake CVNP ,2022-06-29,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,10:41 PM,10:44 PM,,21.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Kendall Lake CVNP ,2022-06-29,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,10:41 PM,10:44 PM,,21.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Kendall Lake CVNP ,2022-06-29,41.216129,-81.52849,No,Peninsula,Summit ,Ohio,Rural,Pond,Natural,Permanent,Lake,,,10:41 PM,10:44 PM,,21.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Cope's Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD Chippewa Inlet North Vernal Pool 01,2022-07-05,41.113687,-81.920256,No,Medina,Medina,Ohio,Park,Vernal Pool,Artificially Altered,Temporary Every Year,Not Known,Medina County Park District Chippewa Inlet North. A small vernal pool that is part of a larger wetland restoration project.,Park at the Chippewa Inlet North parking lot. Take the trail south and veer right at the fork (following the Wetland Loop on the park district map).,09:35 PM,09:38 PM,,27.2,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,Pleasant Lakes #1,2022-07-03,41.112811,-81.361356,No,Kent,Portage,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Every Year,Stream or River,A steep ravine with a small stream that runs through a low lying area at the bottom. The area floods after snow melt and during the spring and times of high precipitation. ,From I-76 go North on Route 43 to left on Howe Road to left on Pleasant Lakes Drive then approximately 0.5 mi to site on your left.,09:41 PM,09:44 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,Pleasant Lakes #1,2022-06-30,41.112811,-81.361356,No,Kent,Portage,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Every Year,Stream or River,A steep ravine with a small stream that runs through a low lying area at the bottom. The area floods after snow melt and during the spring and times of high precipitation. ,From I-76 go North on Route 43 to left on Howe Road to left on Pleasant Lakes Drive then approximately 0.5 mi to site on your left.,09:31 PM,09:34 PM,,25,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Eastern Cricket Frog,1 - Individuals can be counted; there is space between calls,
,Pleasant Lakes #1,2022-06-30,41.112811,-81.361356,No,Kent,Portage,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Every Year,Stream or River,A steep ravine with a small stream that runs through a low lying area at the bottom. The area floods after snow melt and during the spring and times of high precipitation. ,From I-76 go North on Route 43 to left on Howe Road to left on Pleasant Lakes Drive then approximately 0.5 mi to site on your left.,09:31 PM,09:34 PM,,25,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Lock 29 (534),2022-07-01,41.243586,-81.550001,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Stream or River,,Park at Lock 29 Trailhead,10:06 PM,10:09 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Lock 29 (534),2022-07-01,41.243586,-81.550001,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Stream or River,,Park at Lock 29 Trailhead,10:06 PM,10:09 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,Light Rain or Drizzle,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: EEC Constructed Wetlands,2022-07-01,41.215182,-81.576593,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Precipitation or Runoff,These are the old wastewater treatment wetlands,Park at November Lodge and walk down the access road.,09:51 PM,09:54 PM,,22.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: EEC Constructed Wetlands,2022-07-01,41.215182,-81.576593,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Precipitation or Runoff,These are the old wastewater treatment wetlands,Park at November Lodge and walk down the access road.,09:51 PM,09:54 PM,,22.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: EEC 1641,2022-07-01,41.211944,-81.577414,No,Richfield,Summit,Ohio,Suburban,Freshwater Marsh,Natural,Temporary Every Year,Precipitation or Runoff,EEC,Park roadside by November Lodge.,09:43 PM,09:46 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,CUVA: Whirlygig Pond,2022-07-01,41.211846,-81.575361,No,Peninsula,Summit,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,First pond as you walk East from White Pines Lodge.,09:36 PM,09:39 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Whirlygig Pond,2022-07-01,41.211846,-81.575361,No,Peninsula,Summit,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,First pond as you walk East from White Pines Lodge.,09:36 PM,09:39 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: Everett Swamp (332),2022-07-01,41.21201,-81.56607,No,Cuyahoga Falls,Summit,Ohio,Rural,Swamp or Woodland Swamp,Natural,Permanent,Stream or River,Buttonbush Swamp - Oxbow,Roadside parking or walk from Maintenace Yard/,11:08 PM,11:11 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Fog or Mist,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,no standing water
,CUVA: Shultz,2022-07-01,41.21978,-81.50507,No,Cuyahoga Falls,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Every Year,Groundwater,Small pool,Access Road to Shultz,10:49 PM,10:52 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Fog or Mist,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,no standing water - just moist
,CUVA: Truxell Fen (235),2022-07-01,41.22598,-81.54613,No,Peninsula,Summit,Ohio,Suburban,Bog or Fen,Natural,Temporary Some Years,Groundwater,Marsh at this particular location,Access via Salt Run Trail,10:37 PM,10:40 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Truxell Fen (235),2022-07-01,41.22598,-81.54613,No,Peninsula,Summit,Ohio,Suburban,Bog or Fen,Natural,Temporary Some Years,Groundwater,Marsh at this particular location,Access via Salt Run Trail,10:37 PM,10:40 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Truxell Fen (235),2022-07-01,41.22598,-81.54613,No,Peninsula,Summit,Ohio,Suburban,Bog or Fen,Natural,Temporary Some Years,Groundwater,Marsh at this particular location,Access via Salt Run Trail,10:37 PM,10:40 PM,,20,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Oxbow at Conrad-Botzum North (372),2022-07-01,41.17554,-81.57889,No,Cuyahoga Falls,Summit,Ohio,Suburban,Freshwater Marsh,Natural,Temporary Some Years,Precipitation or Runoff,Oxbow,Park on RIverview,10:18 PM,10:21 PM,,24.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,full chorus of gray tree frogs across the street
,CUVA: Ira Towpath Marsh (52),2022-07-01,41.1747,-81.57914,No,Cuyahoga Falls,Summit,Ohio,Suburban,Freshwater Marsh,Natural,Temporary Some Years,Groundwater,"skunk cabbage, marsh marigold community adjacent Towpath",Park on Riverview - South of Ira,09:57 PM,10:00 PM,,24.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,first rain for a while - was very dry
,CUVA: Ira Towpath Marsh (52),2022-07-01,41.1747,-81.57914,No,Cuyahoga Falls,Summit,Ohio,Suburban,Freshwater Marsh,Natural,Temporary Some Years,Groundwater,"skunk cabbage, marsh marigold community adjacent Towpath",Park on Riverview - South of Ira,09:57 PM,10:00 PM,,24.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,first rain for a while - was very dry
,CUVA: Ira Towpath Marsh (52),2022-07-01,41.1747,-81.57914,No,Cuyahoga Falls,Summit,Ohio,Suburban,Freshwater Marsh,Natural,Temporary Some Years,Groundwater,"skunk cabbage, marsh marigold community adjacent Towpath",Park on Riverview - South of Ira,09:57 PM,10:00 PM,,24.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,first rain for a while - was very dry
,CUVA: Oxbow at Conrad-Botzum South (374),2022-07-01,41.17236,-81.57728,No,Cuyahoga Falls,Summit,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Precipitation or Runoff,Oxbow,Park on Riverview,09:43 PM,09:46 PM,,24.4,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,had been very dry for week
,Crescent Ridge Pond,2022-07-01,41.22844,-81.74565,No,Hinckley,Medina,Ohio,Rural,Pond,Natural,Permanent,Stream or River,,,10:05 PM,10:08 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,Crescent Ridge Pond,2022-07-01,41.22844,-81.74565,No,Hinckley,Medina,Ohio,Rural,Pond,Natural,Permanent,Stream or River,,,10:05 PM,10:08 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,Crescent Ridge Pond,2022-07-01,41.22844,-81.74565,No,Hinckley,Medina,Ohio,Rural,Pond,Natural,Permanent,Stream or River,,,10:05 PM,10:08 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Medina Huntington st pond,2022-06-30,41.1458,-81.8692,No,Medina,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,,09:44 PM,09:47 PM,,26.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,Medina Huntington st pond,2022-06-30,41.1458,-81.8692,No,Medina,Medina,Ohio,Suburban,Pond,Human-made,Permanent,Pond,,,09:44 PM,09:47 PM,,26.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,Closed road in Sand Run park,2022-06-30,41.130249,-81.54436,No,Akron,Summit County,Ohio,Suburban,Pond,Artificially Altered,Temporary Some Years,Pond,"One side of the closed road has a temporary pond that is there year round unless the summer is very dry. The other side of the road is a marsh with barely visible water, it's below a lot of plants. ",There is a closed part of Sand Run Parkway that people are allowed to walk on. A little bit before the street becomes Merriman road the site is on either side of the road.,08:59 PM,09:03 PM,,29.4,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,"Ordinarily there are frogs calling, but I only heard one this visit."
,Hickory Pond Akron,2022-06-30,41.099534,-81.528929,No,Akron,Summit,Ohio,Urban,Pond,Human-made,Permanent,Groundwater,Pond on Private Property that was dug in apporx 1949 in an effort to create a foundation for a house,,11:24 PM,11:27 PM,,23.3,0 - CALM: smoke rises vertically,None,Not Noted,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Medina Marsh 01,2022-06-30,41.16867,-81.84337,No,Medina,Medina,Ohio,Park,High Quality Wetland Complex,Natural,Permanent,Stream or River,"Walk the loop trail to the far western edge that borders the largest portion of the wetland, follow the trail until you are in front of the section that opens up by the tree buffer and where the Eagle's nest is visible.",,09:38 PM,09:41 PM,,26.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD Medina Marsh 02,2022-06-30,41.169,-81.84155,No,Medina,Medina,Ohio,Park,High Quality Wetland Complex,Natural,Permanent,Stream or River,"Following the trail from Site # 01, continuing towards the forest/development and away from the road, continue until roughly where the tree buffer in the meadow ends.",,09:50 PM,09:53 PM,,26.7,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Seneca Retention Pond,2022-06-29,41.316774,-81.691269,No,Broadview Heights ,Cuyahoga,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,Retention Pond. Near wooded area and a tributary to Chippewa Creek,Located between Weeping Cherry Villiage and Seneca-Broadview Hills Apartments,10:07 PM,10:10 PM,,22.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,There was a higher voice and a lower voice calling about once a second.
,CUVA: Pleasant Valley East (969),2022-06-29,41.359086,-81.604346,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Temporary Some Years,Precipitation or Runoff,,,09:40 PM,09:43 PM,,22.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2022-06-29,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:40 PM,09:43 PM,,22.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,Lake Forest Estates Pond,2022-06-29,41.285415,-81.480605,No,Macedonia ,United States,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Area has two ponds,,09:38 PM,09:41 AM,,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,One Bullfrog was heard
,Lake Forest Estates Pond,2022-06-29,41.285415,-81.480605,No,Macedonia ,United States,Ohio,Suburban,Pond,Not Known,Permanent,Pond,Area has two ponds,,09:38 PM,09:41 AM,,22.8,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,One Bullfrog was heard
,"Dandelion Field, Ledges ",2022-06-29,41.22422,-81.51067,No,Akron ,USA,Ohio,Rural,Swamp or Woodland Swamp,Not Known,Temporary Every Year,Stream or River,,,09:33 PM,09:36 PM,,26.7,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,Brimfield 43 Old Farm Pond,2022-06-28,41.112957,-81.342648,No,Brimfield Township,Portage,Ohio,Suburban,Pond,Natural,Permanent,Pond,"Woodland swamp on one end, other end is pond.",,09:28 PM,09:31 PM,,20.6,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,Sounds like just 1 frog from same spot. Yesterday and the day before there were definitely multiples calling back and forth. There have been no toads in a long time. All is quiet from them.
,Boneta Back Acre,2022-06-28,41.077397,-81.776806,No,Wadsworth,Medina,Ohio,Rural,Wet Meadow,Natural,Temporary Some Years,Stream or River,Acre of mostly untilled land bordered on two sides with small stream.  Runoff  water also collects in low spots on the land and some years dries up completely in the summer. ,Residential back acre on Boneta rd. in Sharon Township,11:00 PM,11:03 PM,,15,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,"1 faint, distant bullfrog call to the West during whole 3 minutes. But heard two louder bullfrog calls in 2 minutes of silence after arrival. Probably not the same. frog. The calls before recording were due West of the site. The call during the recording was oddly to the NW where there is no close-by large pool of water."
,mill hollow,2022-06-27,41.3802,-82.3154,No,vermilion,lorain,Ohio,Suburban,Pond,Human-made,Permanent,Pond,small man made pond,just east of north ridge road,11:13 PM,11:16 PM,,17.2,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Station Road 853,2022-06-27,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",09:45 PM,09:48 PM,,17.2,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Krejci Remediation (1622-1629),2022-06-27,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,09:35 PM,09:38 PM,,18.3,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Pond,2022-06-27,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,09:25 PM,09:28 PM,,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Pond,2022-06-27,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,09:25 PM,09:28 PM,,17.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Pond,2022-06-18,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,09:25 PM,09:28 PM,,20.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Buckeye Woods Pond,2022-06-18,41.103086,-81.916945,No,Lafayette Township,Medina,Ohio,Rural,Pond,Not Known,Permanent,Stream or River,"Park in the Eastern Lot, off of Deerview Lane, near the picnic pavillion and playground.  Take the paved Large Lake Loop trail veering left (West) at both forks, you will come to a place where the pond appears to pinch and a bench exists, survey here.",,09:25 PM,09:28 PM,,20.6,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,CUVA: Fawn Pond (977),2022-06-27,41.340369,-81.599817,No,Brecksville,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Natural,Permanent,Stream or River,Large Complex with multiple plant communities and water sources,Park and walkin at Sanitation Road,09:45 PM,09:48 PM,,17.2,0 - CALM: smoke rises vertically,None,Much Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,MCPD killbuck lakes west wetland 02,2022-06-26,41.0039,-81.9751,No,lodi,medina,Ohio,Urban,Swamp or Woodland Swamp,Artificially Altered,Permanent,Groundwater,,,09:45 PM,09:48 PM,,24.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD killbuck lakes west wetland 03,2022-06-26,41.0021,-81.9757,No,lodi,medina,Ohio,Rural,Wet Meadow,Artificially Altered,Permanent,Groundwater,,,09:35 PM,09:38 PM,,24.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD killbuck lakes west wetland 03,2022-06-26,41.0021,-81.9757,No,lodi,medina,Ohio,Rural,Wet Meadow,Artificially Altered,Permanent,Groundwater,,,09:35 PM,09:38 PM,,24.4,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Green Leaf Pond,2022-06-26,41.091922,-81.689388,No,Wadsworth,Medina,Ohio,Park,Pond,Human-made,Permanent,Not Known,Medina County Park District Green Leaf Park. Land was a gravel pit prior to 1970s,Park in the North parking lot. Walk West across the field to the trail. Pond is obvious from trail.,09:53 PM,09:56 PM,,22.8,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,MCPD Green Leaf Pond,2022-06-26,41.091922,-81.689388,No,Wadsworth,Medina,Ohio,Park,Pond,Human-made,Permanent,Not Known,Medina County Park District Green Leaf Park. Land was a gravel pit prior to 1970s,Park in the North parking lot. Walk West across the field to the trail. Pond is obvious from trail.,09:53 PM,09:56 PM,,22.8,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Green Leaf Pond,2022-06-26,41.091922,-81.689388,No,Wadsworth,Medina,Ohio,Park,Pond,Human-made,Permanent,Not Known,Medina County Park District Green Leaf Park. Land was a gravel pit prior to 1970s,Park in the North parking lot. Walk West across the field to the trail. Pond is obvious from trail.,09:53 PM,09:56 PM,,22.8,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Green Leaf Wetland 02,2022-06-26,41.091753,-81.689919,No,Wadsworth,Medina,Ohio,Park,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,,South of the Pond,09:47 PM,09:50 PM,,23.3,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,MCPD Green Leaf Wetland 02,2022-06-26,41.091753,-81.689919,No,Wadsworth,Medina,Ohio,Park,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,,South of the Pond,09:47 PM,09:50 PM,,23.3,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Green Leaf Wetland,2022-06-26,41.090833,-81.690278,No,Wadsworth,Medina,Ohio,Park ,Swamp or Woodland Swamp,Natural,Permanent,Not Known,Medina County Park District Green Leaf Park,"Park in the South parking lot. Take the trail that is lined with a stone wall. Take a left at the fork. The wetland is a few paces down on your right. There is a wood duck box that can serve as a marker as of March 6, 2016.",09:39 PM,09:42 PM,,23.3,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Green Leaf Wetland,2022-06-26,41.090833,-81.690278,No,Wadsworth,Medina,Ohio,Park ,Swamp or Woodland Swamp,Natural,Permanent,Not Known,Medina County Park District Green Leaf Park,"Park in the South parking lot. Take the trail that is lined with a stone wall. Take a left at the fork. The wetland is a few paces down on your right. There is a wood duck box that can serve as a marker as of March 6, 2016.",09:39 PM,09:42 PM,,23.3,0 - CALM: smoke rises vertically,Fog or Mist,Some Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
